pref_name,umls_cui_linked,average_depth,trials_count,pubmed_count,search_frequency,select_frequency
"Vaginal intraepithelial neoplasia grade 1",C0049896,11.0155,1,NULL,1,NULL
"Malignant neoplasm of nipple and areola",C0085794,4.6667,1,NULL,1,NULL
"General and unspecified fear of cancer",C0086270,2,1,NULL,1,NULL
"Aid i",C0021323,NULL,1,NULL,1,NULL
"Heroin withdrawal",C0024258,NULL,1,NULL,1,NULL
"Norrie disease",C0028816,6.3977,1,NULL,1,NULL
"Experimental parkinsonism",C0116156,NULL,1,NULL,1,1
"Brittle type 1 diabetes mellitus",C0096926,4,1,NULL,1,1
"Delayed onset post-traumatic stress disorder",C0138510,6,1,NULL,7,NULL
"Gender identity disorder of adult",C0125372,NULL,1,NULL,1,NULL
"Fap gene mutation",C0335794,5,1,NULL,1,NULL
"Cholangiocarcinoma metastatic",C0353387,NULL,1,NULL,12,NULL
"Severe major depression",C0311389,7,1,NULL,11,1
Arthritis/arthrosis,C0000254,7.5,1,NULL,2,NULL
"Isoniazid resistant tuberculosis of lung",C0319110,9.9663,1,NULL,1,2
"Choanal atresia",C0005288,7.7432,1,641,1,NULL
"Acute myeloid leukemia, m1",C0007265,10.8961,1,NULL,3,NULL
"Edema of the tongue",C0010126,6.6575,1,NULL,1,NULL
"Leudet tinnitus",C0087368,7.2727,1,NULL,2,NULL
"Other polyneuropathies",C0084243,3,1,NULL,1,NULL
"Myelopathic muscular atrophy",C0032297,8.9091,1,NULL,5,NULL
"Neuroendocrine cell cancer",C0114857,NULL,1,NULL,5,NULL
"Stage iiia small cell lung carcinoma ajcc v7",C0155687,12.0619,1,NULL,3,3
"Brain stem glioblastoma",C0153726,12.4198,1,NULL,4,1
"Childhood neuroblastoma",C0352958,8.7143,1,NULL,1,2
"Egfr exon 19 deletion",C0334741,NULL,1,NULL,1,NULL
"Intermittent joint effusion",C0002216,5.4898,1,NULL,2,NULL
"Malignant neoplasm of frontal lobe",C0011399,10.6,1,NULL,10,NULL
"Cecal disease",C0005204,7.2121,1,3661,2,NULL
Pseudogout,C0008134,6.1,1,NULL,1,NULL
"Scleredema adultorum",C0008400,5.3506,1,318,1,1
Rhabdomyoma,C0008299,6.2273,1,1057,1,NULL
Oligodendroblastoma,C0046226,11.4,1,NULL,1,NULL
"Limb-girdle muscular dystrophy type 2a",C0192365,NULL,1,NULL,1,NULL
Carcinogenicity,C0126930,4,1,NULL,1,NULL
"Colorectal sessile serrated adenoma/polyp",C0213907,8.3333,1,NULL,9,NULL
"Adult form of celiac disease",C0021374,9.6842,1,NULL,1,NULL
"Gastric neuroendocrine tumor",C0306161,8.6154,1,NULL,2,NULL
Hodgkin's-like,C0020634,NULL,1,NULL,1,NULL
Melanoderma,C0018238,6.6071,1,NULL,4,NULL
"Meningitis in lyme disease",C0041715,10.0847,1,NULL,2,NULL
"Congenital deficiency of pulmonary surfactant protein b",C0303271,6.5,1,NULL,4,NULL
"Poor peripheral circulation",C0086728,4.6154,1,NULL,1,NULL
"Metastasis to brain of unknown primary",C0094177,10.3228,1,NULL,1,NULL
"Graves' ophthalmopathy worsened",C0174878,NULL,1,NULL,1,NULL
"Prostate cancer stage a",C0156306,10.8,1,NULL,1,NULL
"Usher syndrome, type 1b",C0294413,NULL,1,NULL,1,NULL
Byssinosis,C0005122,6.19,1,652,1,NULL
"Low grade tumor",C0358932,NULL,1,NULL,1,NULL
"Frameshift mutation function",C0009167,4.3125,1,4349,1,NULL
"Severe autosomal recessive muscular dystrophy of childhood north african type",C0055510,9.5,1,NULL,4,NULL
"Intraepithelial squamous cell carcinoma",C0002330,9.5676,1,NULL,4,NULL
Pseudotumor,C0008149,4,1,NULL,1,NULL
"Abscess of breast",C0010045,5.7458,1,NULL,10,9
"Iron deficiency without anemia",C0043672,6.6667,1,NULL,1,NULL
"Suprascapular neuropathy",C0319190,7.45,1,NULL,1,NULL
"Minor depressive disorder",C0086842,6,1,NULL,1,NULL
"Degeneration of lumbosacral intervertebral disc",C0026638,10.1111,1,NULL,1,NULL
"Escherichia coli urinary tract infection",C0105984,8.1765,1,NULL,1,NULL
"Adult stuttering",C0115804,NULL,1,NULL,1,NULL
"Costello syndrome",C0109484,4.0333,1,13,2,NULL
"Alzheimer disease 8",C0181987,NULL,1,NULL,1,NULL
"Prostate cancer stage b",C0156305,10.8,1,NULL,2,NULL
"Chronic anxiety",C0107697,8,1,NULL,2,NULL
"Idiopathic transverse myelitis",C0174242,8.9048,1,NULL,1,NULL
"X-linked alport syndrome",C0170638,11.6286,1,NULL,2,3
"Charlevoix-saguenay type spastic ataxia",C0182917,5.5,1,NULL,1,NULL
"Obstructive defaecation",C0349324,4,1,NULL,1,2
"Malignant epithelial neoplasm of alveolus dentalis",C0003285,10.7052,1,NULL,9,NULL
"Acute interstitial nephritis",C0009693,10.0652,1,NULL,1,NULL
"Acute post-trauma stress state",C0042124,6,1,NULL,1,2
"Multi-core congenital myopathy",C0032445,7.2143,1,NULL,1,NULL
"Retinal scar",C0032502,6.9318,1,NULL,1,NULL
"Knee locking",C0018725,7.25,1,NULL,1,NULL
"Vaccine allergy",C0100880,5,1,NULL,1,NULL
"Mitochondrial dna deletion",C0136349,3.8182,1,NULL,1,NULL
"Stage iv skin cancer",C0155888,8,1,NULL,1,NULL
"Lymphocytic gastritis",C0145254,9.9429,1,NULL,1,NULL
"Fungus foot",C0136923,NULL,1,NULL,1,NULL
"Liver neuroendocrine tumor",C0154408,9.1429,1,NULL,1,NULL
"Glycogen storage disease type x",C0030205,7.8205,1,NULL,2,NULL
"Atypical teratoid tumor",C0177916,2,1,NULL,6,NULL
"Drug-induced obesity",C0049427,4,1,NULL,6,NULL
"Congenital naevus",C0151792,4,1,NULL,3,NULL
"Chronic lyme disease",C0199003,NULL,1,NULL,2,NULL
"Breast cancer model",C0158895,5,1,NULL,5,2
"Inflammation of bursa of patella",C0293240,9.125,1,NULL,1,NULL
"Lobular breast cancer",C0315254,2,1,NULL,7,NULL
"Glioblastoma category",C0211028,12.5,1,NULL,4,NULL
"Libman-sacks disease",C0024424,10.1111,1,NULL,4,5
"Multiple sulfatase deficiency disease",C0030281,8.1417,1,8,1,NULL
"Hypothalamic hamartoma",C0044747,6.3804,1,NULL,2,NULL
"Cerebral cyst",C0012158,5.4902,1,NULL,2,1
"Linear scleroderma",C0026257,10.15,1,NULL,1,NULL
"Methylmalonic aciduria",C0185800,4.2571,1,NULL,3,NULL
"Cerebellar glioblastoma",C0153807,12.3824,1,NULL,1,NULL
"Sclerodermoid chronic graft-versus-host disease",C0151151,7,1,NULL,1,5
"Acute retroviral syndrome",C0192342,5.2647,1,2,2,2
"Mitochondrial dna mutation",C0136642,4,1,NULL,1,NULL
"Malignant neoplasm of breast stage iv",C0202031,NULL,1,NULL,1,1
"Colorectal gastrointestinal stromal tumor",C0153993,8.8182,1,NULL,1,NULL
"Autosomal dominant cerebellar ataxia",C0353287,NULL,1,NULL,3,NULL
"Stage iiib small intestinal cancer ajcc v7",C0297552,11.7273,1,NULL,4,NULL
"Sideroblastic anemia",C0004786,5.0364,1,1770,1,NULL
"Sphenopalatine neuralgia",C0008555,7.6304,1,NULL,1,NULL
"Diabetes with coma",C0140489,4.0408,1,2257,1,1
"Congenital melanocytic nevus",C0152033,6.596,1,NULL,2,NULL
"Shoulder lesion",C0084530,4.1667,1,NULL,2,NULL
"Malignant myeloma",C0120982,NULL,1,NULL,6,NULL
"Neurofibromatosis, type 4, of riccardi",C0018009,7.8571,1,NULL,1,NULL
"Actively extending plaque psoriasis",C0151114,8.7,1,NULL,1,1
"Parkinson disease 6, autosomal recessive early-onset",C0185248,NULL,1,NULL,3,1
"Alzheimer disease 6, late-onset",C0185390,NULL,1,NULL,2,2
"Spinal muscular atrophy with respiratory distress 1",C0187845,9.5833,1,NULL,8,NULL
"Acute anaemia",C0114184,NULL,1,NULL,2,NULL
Gestosis,C0153054,NULL,1,NULL,2,NULL
"Split cord malformation",C0293460,8.3103,1,NULL,1,NULL
"Constitutional eczema",C0024236,8.4211,1,NULL,7,1
"Dmd-associated dilated cardiomyopathy",C0319907,9.8636,1,NULL,2,NULL
"Spondyloepiphyseal dysplasia",C0008576,4,1,NULL,3,2
"Idiopathic edema",C0021400,5.3333,1,NULL,1,NULL
"Silent myocardial infarction",C0043166,8.25,1,NULL,1,1
"Udpglucose 4-epimerase deficiency disease",C0115565,6.5,1,NULL,2,NULL
"Fibrocystic disease of pancreas",C0161280,5.7353,1,NULL,1,NULL
"Stage iv oral cavity cancer ajcc v6 and v7",C0155878,10.52,1,NULL,1,NULL
"Tsc2 gene mutation",C0335414,5,1,NULL,1,NULL
"Graft versus host disease in gastrointestinal tract",C0331668,4,1,NULL,1,NULL
"Gustatory sweating",C0008680,4.9429,1,515,1,1
"Low grade ductal breast carcinoma in situ",C0154655,10.5517,1,NULL,2,NULL
"Amyotrophic lateral sclerosis 3",C0182257,NULL,1,NULL,1,NULL
"Alzheimer disease 7",C0185157,NULL,1,NULL,1,NULL
"Multiple tumor",C0024558,3.5,1,NULL,5,1
Chilblain,C0005279,6.0306,1,210,1,NULL
"Cerebral ataxia",C0032258,5.5909,1,NULL,1,NULL
"General paralysis",C0001685,8.3704,2,662,34,NULL
"Bovine anaplasmosis",C0004766,4.5814,2,1156,2,NULL
Cherubism,C0005271,4.617,2,310,2,NULL
"Cornelia de lange syndrome",C0032454,4.534,2,538,2,NULL
"Kidney problem",C0117041,NULL,2,NULL,1,2
"Refractory malignant testicular germ cell tumor",C0156343,9.3684,2,NULL,2,5
"Narcolepsy 1",C0177000,NULL,2,NULL,1,NULL
"Alzheimer disease, familial, type 3",C0180514,9.2,2,NULL,1,2
"Stage iia uveal melanoma",C0297641,10.125,2,NULL,1,NULL
"Kras np_004976.2:p.g12c",C0306530,6,2,NULL,1,NULL
"Cancer of jaw",C0003447,5.4756,2,2860,15,2
"Mite allergy",C0353278,4,2,NULL,1,NULL
"Lamin a/c gene mutation",C0334336,4,2,NULL,4,NULL
"Parkinsonism due to drug",C0032265,9.7619,2,NULL,1,NULL
"Pitt-hopkins syndrome",C0196063,5,2,NULL,2,NULL
"Asymptomatic multiple myeloma",C0205338,9.4,2,NULL,1,4
"Sickle beta 0 thalassemia",C0306855,9.5,2,NULL,1,NULL
"Bursitis of hip",C0026674,8.3729,2,NULL,1,NULL
"Proliferative glomerulonephritis",C0020642,9.8596,2,NULL,1,NULL
"Asxl1 gene mutation",C0306458,5,2,NULL,1,NULL
"Miller fisher syndrome",C0051452,6.2655,2,335,1,NULL
"Moderate hereditary factor viii deficiency disease",C0033547,7.4,2,NULL,1,1
"Glomus tumor",C0006183,5.3696,2,1761,2,NULL
"Rubinstein-taybi syndrome",C0008337,4.5436,2,344,2,NULL
"Endometrial cancer stage iii",C0038722,4.1818,2,NULL,1,NULL
"Familial alzheimer disease (fad)",C0037098,NULL,2,NULL,1,1
"Cystic fibrosis with other manifestation",C0084156,4.5,2,NULL,2,NULL
"Sleep-related bruxism",C0051432,9.68,2,NULL,1,NULL
"Acute idiopathic thrombocytopenic purpura",C0033519,7.7,2,NULL,3,4
"Orthostatic hypertension",C0088305,4,2,NULL,1,3
"Generalized headache",C0077811,8.6,2,NULL,1,1
"Lung sarcomatoid carcinoma",C0173424,10,2,NULL,1,NULL
"Stage ii lung cancer ajcc v6",C0298656,10.4545,2,NULL,1,NULL
"Not otherwise specified central nervous system embryonal tumor",C0334022,8.7143,2,NULL,1,NULL
"Central nervous system cyst",C0049932,4.4091,2,570,2,NULL
"Gender incongruence",C0353447,NULL,2,NULL,1,NULL
"Lobstein disease",C0000720,9.7941,2,NULL,2,NULL
"Supranuclear paralysis",C0032415,5.381,2,NULL,2,NULL
"Clicking tinnitus",C0087367,6.8,2,NULL,2,NULL
"Aase syndrome",C0027793,4.1563,2,NULL,1,NULL
"Reiter syndrome",C0008249,7.3216,2,NULL,1,NULL
"Nausea chronic",C0114846,NULL,2,NULL,4,2
"Alzheimer disease 2",C0190062,11.1667,2,NULL,4,2
"Niemann-pick disease, type c2",C0180718,9.5,2,NULL,1,NULL
"Neuropathic ulcer",C0001966,5.7576,2,NULL,1,NULL
"Dementia in parkinson's disease",C0049529,4,2,NULL,2,13
"Pain of skin",C0023665,4.95,2,NULL,1,NULL
"Bohring syndrome",C0116510,8.4375,2,NULL,2,NULL
"Juvenile parkinsonism",C0116158,10.1111,2,NULL,1,1
"Aberrant dna methylation",C0158768,5,2,NULL,1,NULL
"Adenocarcinoma of lung stage iiia",C0130079,13.3675,2,NULL,3,4
"Congenital hemangioma",C0020708,5.9531,2,NULL,7,NULL
"Hemoglobin s disease without crisis",C0002239,10.1607,2,NULL,3,1
"Primary orthostatic tremor",C0134239,7.6667,2,NULL,4,NULL
"Type iia usher syndrome",C0182561,NULL,2,NULL,1,NULL
"Painful neuropathy",C0183801,NULL,2,NULL,1,NULL
"Urothelial neoplasm",C0160737,6.3333,2,NULL,1,1
"Stage iv ampulla of vater cancer ajcc v7",C0155863,10,2,NULL,2,NULL
Alpha-sarcoglycanopathies,C0295102,NULL,2,NULL,3,NULL
"Sport drug abuse",C0295518,NULL,2,NULL,2,NULL
"Werner syndrome",C0009098,4.9481,2,1152,1,NULL
"Juvenile pilocytic astrocytoma",C0039468,11.6875,2,NULL,3,NULL
"Peripheral motor neuropathy",C0020328,4.5789,2,NULL,1,NULL
"Sexual problem",C0125126,NULL,2,NULL,1,NULL
"Fraxa syndrome",C0115563,9.6667,2,NULL,1,NULL
"Large cell lung cancer stage iv",C0123832,10.5,2,NULL,1,1
"Malignant adult brain neoplasm",C0154714,9.9,2,NULL,1,NULL
"Thymic carcinoid tumor",C0156014,11.2947,2,NULL,1,NULL
"Lupus flare",C0349996,8,2,NULL,1,NULL
"Benign neoplasm of stomach",C0011616,9.1783,2,NULL,1,NULL
"Central nervous system depression",C0010092,4.8333,2,NULL,2,NULL
"Neonatal adrenoleukodystrophy",C0039686,9.3947,2,NULL,2,1
"Upper motor neuron disease",C0087257,6.6,2,NULL,1,NULL
"Von willebrand disease, type 1",C0140563,5.8846,2,14,1,NULL
Gossypiboma,C0161508,7,2,NULL,4,NULL
"Bile acid synthesis defect",C0213945,4,2,NULL,1,NULL
"Lymphoproliferative syndrome, x-linked, 2",C0181392,6,2,NULL,2,NULL
"Cerebral astrocytoma",C0115419,12.214,2,NULL,1,NULL
"Social anhedonia",C0303187,NULL,2,NULL,1,NULL
"Macular degeneration, age-related, 2",C0312925,NULL,2,NULL,4,NULL
"Renal glycosuria",C0006208,6.0078,2,406,1,NULL
"Skin angiosarcoma",C0047398,8.3278,2,NULL,2,NULL
"Congenital fiber type disproportion",C0088530,7.7143,2,NULL,4,NULL
"Secondary fibromyalgia",C0115562,NULL,2,NULL,1,NULL
"Permanent neonatal diabetes mellitus",C0176499,9.2222,2,NULL,2,2
"Spastic neurogenic urinary bladder",C0115432,11.8,2,NULL,1,NULL
"Sickle cell dactylitis",C0122217,5,2,NULL,1,1
"Acute depression",C0156467,5,2,NULL,4,2
"Juvenile huntington disease",C0115596,9.1,2,NULL,3,NULL
"Maternal phenylketonuria",C0009305,5.9785,2,100,1,1
"Chronic leukemia, t-cell",C0006902,7.4592,2,NULL,4,NULL
"Autoimmune uveitis",C0334244,4,2,NULL,1,NULL
"Combined hepatocellular carcinoma and cholangiocarcinoma",C0018188,11.6344,2,NULL,3,NULL
"Farber lipogranulomatosis",C0030277,7.2361,2,9,4,NULL
"Adenoid cystic carcinoma of submandibular gland",C0003317,12.5346,2,NULL,1,1
Rectal/anal,C0088988,2,2,NULL,1,NULL
"Primary hypertrophic osteoarthropathy",C0007506,6.1275,2,493,2,NULL
"Hemoglobin s sickling disorder with crisis",C0170520,10.6364,2,NULL,2,1
"Sinus histiocytosis",C0006455,5.0455,2,588,2,NULL
"Headache migraine chronic",C0114603,NULL,2,NULL,2,NULL
"Major depressive disorder 1",C0178836,NULL,2,NULL,4,NULL
"Stage ivb hilar cholangiocarcinoma ajcc v7",C0297612,12.9286,2,NULL,2,NULL
"Epidermolysis bullosa simplex kobner",C0009163,9.9474,2,NULL,1,NULL
"Ehlers-danlos syndrome, type 3",C0030330,8.49,2,NULL,1,NULL
"Alzheimer disease type 1",C0294460,NULL,2,NULL,4,NULL
"Prostate cancer stage d",C0299581,10.8,2,NULL,10,2
"Acute transverse myelitis",C0032181,8.2368,2,NULL,2,NULL
"Acute congestive heart failure",C0027336,10.375,2,NULL,4,12
"Pernicious anemia",C0004783,6.7126,2,5426,1,NULL
"Gastric carcinoid tumor",C0049879,9.3605,2,NULL,1,NULL
"Parkinson disease 2, autosomal recessive juvenile",C0192114,NULL,2,NULL,5,1
"Thyroid cancer stage iv",C0301146,4,2,NULL,1,NULL
"Egfr exon 20 insertion mutation",C0352978,7,2,NULL,2,NULL
"Depression suicidal",C0018407,4,2,NULL,1,1
"Chronic urinary tract infection",C0025716,7.56,2,NULL,7,NULL
"Aquagenic pruritus",C0054195,7.1282,2,NULL,1,1
"Cerebral glioblastoma",C0153814,12.1852,2,NULL,2,NULL
"Brca1 syndrome",C0153608,6.5,2,NULL,2,2
"Severe early-onset copd",C0195820,NULL,2,NULL,2,NULL
"Malignant neoplasm of brain stem",C0000513,10.1646,2,NULL,1,NULL
"Polyp of nasal sinus",C0026939,7.3636,2,NULL,3,NULL
"Angiosarcoma of liver",C0047279,10.3419,2,NULL,1,NULL
"Carcinoma of head of pancreas",C0001419,11.5364,2,NULL,14,5
"Sickle cell-beta^0^-thalassemia",C0140522,11.5769,2,NULL,1,NULL
"Lung sarcoma",C0110193,8.5417,2,NULL,2,2
"Nail-patella syndrome",C0007301,5.8636,3,419,1,NULL
"Usher syndrome type 2",C0042598,11.7544,3,NULL,6,NULL
"Rheumatoid arthritis of knee",C0055024,8.5283,3,NULL,5,1
"Pancreatic adenoma",C0138935,NULL,3,NULL,1,3
"Endometrioid adenocarcinoma metastatic",C0129797,9.2105,3,NULL,1,1
"Chronic myelomonocytic leukemia-1",C0153938,9.8571,3,NULL,1,NULL
"Miyoshi myopathy",C0184134,8.6667,3,NULL,1,NULL
"Indolent multiple myeloma",C0198686,10.6364,3,NULL,2,4
"Acute inflammatory demyelinating polyneuropathy",C0314823,8.457,3,NULL,2,4
Somnambulism,C0008537,5.3231,3,459,1,NULL
"Trisomy x syndrome",C0018079,5.4286,3,NULL,2,NULL
"Unspecified use opioid abuse",C0050292,6,3,NULL,1,NULL
"Adult intracranial neoplasm",C0153478,8,3,NULL,1,NULL
"Pancreatic leak",C0158503,4,3,NULL,1,1
"Stage iv small cell lung carcinoma ajcc v7",C0155889,11.4118,3,NULL,1,NULL
"Lewy body dementia with behavioral disturbance",C0320937,9.9565,3,NULL,1,2
"Herpetic neuralgia",C0025755,NULL,3,NULL,1,NULL
"Acute pericarditis",C0012867,7.9444,3,NULL,1,1
"Pica disease",C0007958,4.1373,3,895,1,NULL
"Lafora disease",C0115988,6.6477,3,132,3,NULL
"C-met gene amplification",C0173823,6,3,NULL,3,NULL
"Large cell lung neuroendocrine carcinoma",C0154622,9.907,3,NULL,1,NULL
"Pleural epithelioid mesothelioma",C0173598,9.5455,3,NULL,4,3
"Gaucher disease, type 2",C0030274,4.8636,3,NULL,1,NULL
"Intestinal graft versus host disease",C0154545,6.5,3,NULL,8,NULL
"Asthmatic bronchitis",C0152115,9.2424,3,NULL,1,NULL
"Lung cyst",C0088578,5.8333,3,NULL,3,1
"Bronchiolitis obliterans organizing pneumonia",C0002171,9.03,3,649,3,NULL
"Idiopathic bronchiectasis",C0042894,9.1818,3,NULL,1,NULL
"Autoimmune neutropenia",C0043684,5.4848,3,NULL,2,NULL
"Upper gastrointestinal disorder",C0116961,3,3,NULL,2,NULL
"Cardiac variant fabry disease",C0196231,NULL,3,NULL,14,NULL
"Endocrine breast disease",C0158134,NULL,3,NULL,1,1
"Krukenberg tumor",C0000259,11.6638,3,342,4,NULL
"Epithelial basement membrane corneal dystrophy",C0087311,NULL,3,NULL,1,NULL
"Overt fibrotic stage primary myelofibrosis",C0159967,9.625,3,NULL,1,1
"Stage iii gallbladder cancer ajcc v7",C0299555,10.6154,3,NULL,2,NULL
"Primary hypoparathyroidism",C0325955,5,3,NULL,2,NULL
"Pyruvate dehydrogenase complex deficiency disease",C0008218,5.6187,3,320,1,NULL
"Chronic pelvic inflammatory disease",C0009710,9.2419,3,NULL,1,NULL
"Malignant neoplasm of scrotum",C0000001,9.7369,3,NULL,1,NULL
"Pyridoxine-dependent epilepsy",C0183208,7.3103,3,NULL,2,NULL
"Parkinson disease 10",C0182095,NULL,3,NULL,1,NULL
"Supranuclear palsy, progressive, 1, atypical",C0183586,NULL,3,NULL,4,NULL
Polysomy,C0159474,4,3,NULL,1,NULL
"Secondary central nervous system hodgkin lymphoma",C0335481,9.8889,3,NULL,1,NULL
"Adult sleep bruxism",C0115976,NULL,3,NULL,1,NULL
"Anaplastic astrocytoma of brain",C0049941,11.1041,3,NULL,1,1
"Chronic kidney disease stage 2",C0203535,9.963,3,NULL,1,NULL
"Dedifferentiated chondrosarcoma",C0130162,9.7895,3,NULL,2,NULL
"Parkinson's disease and parkinsonism",C0136204,3,3,NULL,32,NULL
"Anal cancer metastatic",C0156269,6.2857,3,NULL,1,NULL
"Avoidant personality disorder",C0004956,4.375,3,NULL,1,NULL
"Pain sacroiliac",C0020689,NULL,3,NULL,1,NULL
"Lyme arthritis",C0024425,9,3,NULL,3,NULL
"Mature t all",C0160914,8,3,NULL,3,NULL
"Progressive relapsing multiple sclerosis",C0051342,5.6667,3,NULL,1,NULL
"Accommodative insufficiency",C0042715,8.6667,3,NULL,1,1
"Joint loose body",C0006751,4.3889,3,600,1,NULL
"Adult type ovarian granulosa cell tumor",C0153492,10.5217,3,NULL,2,2
"Inherited bone marrow failure syndrome",C0299430,6,3,NULL,2,NULL
"Behavioral variant of frontotemporal dementia",C0336152,9.1579,3,NULL,1,1
"Tumor necrosis factor receptor 1-associated periodic syndrome",C0334745,5,3,NULL,1,NULL
"Lower extremity paresis",C0115721,6,3,NULL,2,NULL
"Objective tinnitus",C0012762,6.6667,3,NULL,4,NULL
"Graft pain",C0139502,NULL,3,NULL,1,NULL
"Facioscapulohumeral muscular dystrophy 1a",C0177120,NULL,3,NULL,2,NULL
"Activated pi3k-delta syndrome",C0321382,6,3,NULL,2,NULL
"Type iv ehlers-danlos syndrome",C0030331,8.6842,3,NULL,3,NULL
"Parkinsonian tremor",C0109229,6,3,NULL,1,1
"With oculomotor apraxia and hypoalbuminemia ataxia, early-onset",C0188400,NULL,3,NULL,1,NULL
"Familial  infantile convulsion and paroxysmal choreoathetosis",C0191086,10.119,3,NULL,1,NULL
"Metastatic ocular melanoma",C0202921,4,3,NULL,4,1
"Hereditary angioedema type i",C0210594,NULL,3,NULL,3,NULL
"Secondarily generalized seizure",C0032358,7,4,NULL,1,1
"Aromatic amino acid decarboxylase deficiency",C0044967,9,4,NULL,2,NULL
Cancerophobia,C0019722,9.6667,4,NULL,2,1
"Gitelman syndrome",C0030421,7.949,4,81,1,NULL
"Recurrent atrial fibrillation",C0114231,NULL,4,NULL,1,NULL
"Multiple sclerosis relapse",C0124804,4,4,NULL,5,4
"Nongerminomatous germ cell tumor",C0141696,10.2857,4,NULL,1,NULL
"Breast carcinoma metastatic in the brain",C0153733,10.5532,4,NULL,2,3
"Orbital pseudotumor",C0009258,5.8478,4,405,1,NULL
"Basal cell neoplasm",C0017933,6,4,346,1,NULL
"Congenital myotonic dystrophy",C0055556,8.4091,4,NULL,2,1
"Tranexamic acid adverse reaction",C0056940,8,4,NULL,1,NULL
"Vascular parkinsonism",C0051257,6.8205,4,NULL,1,NULL
